,date,county,state,fips,cases,deaths
143,2020-02-12,Bexar,Texas,48029.0,1,0
154,2020-02-13,Bexar,Texas,48029.0,2,0
165,2020-02-14,Bexar,Texas,48029.0,2,0
176,2020-02-15,Bexar,Texas,48029.0,2,0
187,2020-02-16,Bexar,Texas,48029.0,2,0
199,2020-02-17,Bexar,Texas,48029.0,2,0
211,2020-02-18,Bexar,Texas,48029.0,2,0
223,2020-02-19,Bexar,Texas,48029.0,2,0
236,2020-02-20,Bexar,Texas,48029.0,2,0
250,2020-02-21,Bexar,Texas,48029.0,4,0
264,2020-02-22,Bexar,Texas,48029.0,4,0
278,2020-02-23,Bexar,Texas,48029.0,4,0
293,2020-02-24,Bexar,Texas,48029.0,10,0
309,2020-02-25,Bexar,Texas,48029.0,10,0
329,2020-02-26,Bexar,Texas,48029.0,10,0
349,2020-02-27,Bexar,Texas,48029.0,10,0
370,2020-02-28,Bexar,Texas,48029.0,11,0
392,2020-02-29,Bexar,Texas,48029.0,11,0
419,2020-03-01,Bexar,Texas,48029.0,11,0
451,2020-03-02,Bexar,Texas,48029.0,11,0
486,2020-03-03,Bexar,Texas,48029.0,11,0
523,2020-03-04,Bexar,Texas,48029.0,11,0
524,2020-03-04,Fort Bend,Texas,48157.0,1,0
571,2020-03-05,Bexar,Texas,48029.0,11,0
572,2020-03-05,Fort Bend,Texas,48157.0,1,0
573,2020-03-05,Harris,Texas,48201.0,4,0
640,2020-03-06,Bexar,Texas,48029.0,11,0
641,2020-03-06,Fort Bend,Texas,48157.0,3,0
642,2020-03-06,Harris,Texas,48201.0,5,0
732,2020-03-07,Bexar,Texas,48029.0,11,0
733,2020-03-07,Fort Bend,Texas,48157.0,3,0
734,2020-03-07,Harris,Texas,48201.0,5,0
844,2020-03-08,Bexar,Texas,48029.0,11,0
845,2020-03-08,Fort Bend,Texas,48157.0,6,0
846,2020-03-08,Harris,Texas,48201.0,6,0
973,2020-03-09,Bexar,Texas,48029.0,11,0
974,2020-03-09,Collin,Texas,48085.0,1,0
975,2020-03-09,Fort Bend,Texas,48157.0,6,0
976,2020-03-09,Harris,Texas,48201.0,6,0
1131,2020-03-10,Bexar,Texas,48029.0,11,0
1132,2020-03-10,Collin,Texas,48085.0,3,0
1133,2020-03-10,Dallas,Texas,48113.0,2,0
1134,2020-03-10,Fort Bend,Texas,48157.0,6,0
1135,2020-03-10,Harris,Texas,48201.0,7,0
1136,2020-03-10,Montgomery,Texas,48339.0,1,0
1137,2020-03-10,Tarrant,Texas,48439.0,1,0
1327,2020-03-11,Bexar,Texas,48029.0,11,0
1328,2020-03-11,Collin,Texas,48085.0,3,0
1329,2020-03-11,Dallas,Texas,48113.0,3,0
1330,2020-03-11,Fort Bend,Texas,48157.0,6,0
1331,2020-03-11,Gregg,Texas,48183.0,1,0
1332,2020-03-11,Harris,Texas,48201.0,7,0
1333,2020-03-11,Montgomery,Texas,48339.0,1,0
1334,2020-03-11,Tarrant,Texas,48439.0,1,0
1574,2020-03-12,Bexar,Texas,48029.0,11,0
1575,2020-03-12,Collin,Texas,48085.0,4,0
1576,2020-03-12,Dallas,Texas,48113.0,8,0
1577,2020-03-12,Fort Bend,Texas,48157.0,6,0
1578,2020-03-12,Gregg,Texas,48183.0,1,0
1579,2020-03-12,Harris,Texas,48201.0,9,0
1580,2020-03-12,Montgomery,Texas,48339.0,1,0
